O_code,D_code,car_time,bus_time,ship_time,rail_time,air_time,car_cost,bus_cost,ship_cost,rail_cost,air_cost
1,1,0,-,-,-,-,0,-,-,-,-
1,2,597.5394,839.9,-,483.2,293.2,12970,10110,-,17610,30400
1,3,784.6134,1096.5,-,581,347,17510,13780,-,19220,35400
1,4,916.6592,1175.6,-,634,305,21530,16310,-,22770,37250
1,5,805.29,1517.5,-,676.4,346.4,16800,21040,-,19920,34330
1,6,952.6518,1262.1,-,743,407.4,22740,17260,-,22900,37980
1,7,979.236,1214.3,-,665.7,338.7,23040,19070,-,23750,40660
1,8,1122.003,2033.8,-,836.3,345.3,27310,24880,-,29830,40040
1,9,1105.4836,1939.9,-,729.3,304.3,26650,27300,-,25630,41150
1,10,1176.2654,1885.2,-,783.2,346.2,28860,25340,-,29480,41150
1,11,1185.455,1601.8,-,704.3,265.3,29330,24690,-,26580,36770
1,12,1234.138,1634.4,-,773.9,273.9,30520,20880,-,28050,37350
1,13,1202.5214,1479.4,-,743.9,243.9,30150,18010,-,26970,36470
1,14,1221.8852,1588.3,-,759.7,231.7,30920,18690,-,27520,36430
1,15,1061.833,1647.1,-,842.5,339.5,21550,22800,-,33690,39400
1,16,1263.4572,1986.4,-,841.9,355.9,27170,20810,-,35520,44610
1,17,1304.154,1903,-,879.4,384.4,28490,28350,-,36660,62000
1,18,1370.7786,2152.5,-,927,385,30340,22730,-,37560,45250
1,19,1311.1556,2012.3,-,850.5,356.5,32110,26520,-,28890,40350
1,20,1227.9022,1957.8,-,786.2,349.2,25710,19990,-,31200,44500
1,21,1437.5126,2255,-,871.5,314.5,32020,26170,-,35480,48570
1,22,1362.3548,1997.3,-,807.6,321.6,34570,26910,-,31820,42650
1,23,1444.6236,1956.7,-,842.1,283.1,33480,26710,-,35360,48140
1,24,1520.219,2292.1,-,910,351,35470,30330,-,37070,49870
1,25,1506.1064,2144.7,-,884.8,372.8,33990,30080,-,37410,53390
1,26,1525.2514,2045.9,-,881.4,370.4,32760,30970,-,37480,52880
1,27,1542.9742,2118.4,-,909.8,339.8,37450,31520,-,37930,52600
1,28,1574.5908,2291.8,-,911.8,353,37980,32250,-,38190,52700
1,29,1544.287,2289,-,918.3,375.5,36280,30110,-,37840,53480
1,30,1605.7698,2390.9,-,986.1,378.1,38600,30720,-,38690,52870
1,31,1643.9504,2476.7,-,1047.7,345.7,35640,35080,-,42030,67360
1,32,1750.9436,2519.3,-,1130,360,40280,35830,-,42740,69430
1,33,1675.4576,2443.8,-,954.3,368.3,38480,34430,-,39990,70660
1,34,1792.1874,2553.3,-,1001.7,365.7,42630,36420,-,41800,72040
1,35,1896.8832,2635.7,-,1064.6,400.6,45280,34530,-,44740,72440
1,36,1647.123,2415.9,-,1104.4,344.4,41070,34710,-,42510,69640
1,37,1686.2882,2500.9,-,1029.1,341.7,42400,34220,-,40750,69910
1,38,1794.1566,2569,-,1143.4,346.4,45690,35520,-,43270,72370
1,39,1774.7928,2563.1,-,1145.7,375.7,44950,36320,-,43200,72220
1,40,2023.0214,2744.7,-,1071.9,328.2,49150,37720,-,45510,59260
1,41,2082.3162,3176.4,-,1129.7,417.7,49900,44790,-,47630,35300
1,42,2139.5324,2971.9,-,1212.6,387.3,52040,43590,-,48930,59900
1,43,2120.7156,2930.5,-,1155.5,411.5,50960,38010,-,49530,71500
1,44,2073.3454,2998.7,-,1152.8,396.8,50320,42690,-,48110,71150
1,45,2248.9324,3217,-,1350.8,359.6,54720,48620,-,55970,70930
1,46,2260.2006,3233,-,1202.5,417.5,54870,48210,-,53210,60420
1,47,-,-,-,-,392.4,-,-,-,-,61260
1,48,304.3508,515.8,-,397.3,306.3,2900,5450,-,13310,28740
1,49,130.0766,157.6,-,104.8,-,3570,2060,-,4810,-
1,50,377.5394,574.6,-,339,284,10770,6870,-,13090,24910
2,1,597.3206,846.9,-,483.2,293.2,12970,10110,-,17610,30400
2,2,0,-,-,-,-,0,-,-,-,-
2,3,187.074,235.8,-,128.3,-,4540,3450,-,6460,-
2,4,319.1198,337.5,-,181.4,246.3,8560,6200,-,11410,55370
2,5,207.7506,659.4,-,198.7,-,3830,10710,-,5600,-
2,6,355.1124,404,-,290.3,271.5,9770,6930,-,11970,54050
2,7,381.6966,435.2,-,213.1,410.1,10070,7100,-,12820,62740
2,8,524.4636,831.9,-,383.6,317.6,14340,9580,-,19660,39020
2,9,507.9442,859,-,276.6,327.6,13680,12350,-,15780,37140
2,10,578.726,818.4,-,330.5,346.5,15890,11350,-,19630,39000
2,11,587.9156,648.8,-,251.6,237.6,16360,7890,-,16620,35750
2,12,636.5986,685.3,-,321.3,246.3,17550,8500,-,17880,36330
2,13,604.982,621.3,-,291.2,216.2,17180,7680,-,16800,35450
2,14,624.3458,664.8,-,307.1,204.1,17950,8110,-,17680,35410
2,15,464.2936,643,-,389.8,333.8,8580,10290,-,23520,58400
2,16,665.9178,859.3,-,389.2,320.2,14200,14210,-,25670,60290
2,17,706.6146,881.9,-,426.8,356.8,15520,15840,-,26390,60980
2,18,773.2392,969.4,-,474.3,374.3,17370,16510,-,27710,41520
2,19,713.6162,764.2,-,397.9,328.9,19140,9500,-,19040,39330
2,20,630.3628,830.7,-,333.5,450.5,12740,13390,-,20920,41900
2,21,839.9732,984.9,-,418.8,278.8,19050,14580,-,25210,35980
2,22,764.8154,819.3,-,355,294,21600,10430,-,21860,41630
2,23,847.0842,935.6,-,389.4,230.5,20510,14200,-,25410,35600
2,24,922.6796,1016.5,-,457.4,311.4,22500,15010,-,27120,37310
2,25,908.567,1028.2,-,432.1,276.1,21020,18400,-,27240,43190
2,26,927.712,1024.8,-,428.7,273.7,19790,18460,-,27310,42680
